Title,URL,Priority
How do I create a Portfolium Course Assessment LTI assignment in Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-create-a-Portfolium-Course-Assessment-LTI-assignment-in/ta-p/1454,high
Updating a Canvas quiz,https://community.canvaslms.com/t5/Troubleshooting/Updating-a-Canvas-quiz/ta-p/829,high
Accessing Canvas assignments,https://community.canvaslms.com/t5/Troubleshooting/Accessing-Canvas-assignments/ta-p/867,high
Making assignments available to students,https://community.canvaslms.com/t5/Troubleshooting/Making-assignments-available-to-students/ta-p/883,high
Printing quizzes from Canvas,https://community.canvaslms.com/t5/Troubleshooting/Printing-quizzes-from-Canvas/ta-p/841,high
How do I fulfill an existing assignment requirement in a pathway?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-fulfill-an-existing-assignment-requirement-in-a-pathway/ta-p/569863,high
How do I bulk score submissionless requirements in Pathways?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-bulk-score-submissionless-requirements-in-Pathways/ta-p/1459,high
How do I manually review submissionless requirements in Pathways?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-manually-review-submissionless-requirements-in-Pathways/ta-p/1473,high
Peer/Expert Review: Conduct peer review,https://community.canvaslms.com/t5/Tennessee-SGP/Peer-Expert-Review-Conduct-peer-review/ta-p/1505,high
How do I find my unread messages in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-find-my-unread-messages-in-the-Inbox/ta-p/616660,high
How do I send a message to a user in a student group in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-send-a-message-to-a-user-in-a-student-group-in-the/ta-p/616657,high
How do I attach a file to a message in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-attach-a-file-to-a-message-in-the-Inbox/ta-p/616658,high
How do I record or upload media to a message in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-record-or-upload-media-to-a-message-in-the-Inbox/ta-p/616664,high
How do I reply to a message in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-reply-to-a-message-in-the-Inbox/ta-p/616662,high
How do I privately reply to one individual in a group message in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-privately-reply-to-one-individual-in-a-group-message-in/ta-p/616663,high
How do I forward a message from a conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-forward-a-message-from-a-conversation-in-the-Inbox/ta-p/616668,high
How do I delete a message from a conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-delete-a-message-from-a-conversation-in-the-Inbox/ta-p/616665,high
How do I archive a conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-archive-a-conversation-in-the-Inbox/ta-p/616677,high
How do I add new people to an existing conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-add-new-people-to-an-existing-conversation-in-the-Inbox/ta-p/616670,high
How do I delete a conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-delete-a-conversation-in-the-Inbox/ta-p/616672,high
How do I filter conversations in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-filter-conversations-in-the-Inbox/ta-p/616656,high
How do I star a conversation in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-star-a-conversation-in-the-Inbox/ta-p/616655,high
How do I manage my Inbox settings?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-manage-my-Inbox-settings/ta-p/616661,high
Grade Definitions and Locations,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Grade-Definitions-and-Locations/ta-p/387088,high
Peer Review Tab for State Administrators,https://community.canvaslms.com/t5/Tennessee-SGP/Peer-Review-Tab-for-State-Administrators/ta-p/1510,high
How do I add an existing assignment as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-an-existing-assignment-as-a-requirement-to-a/ta-p/1464,high
How do I add a Canvas LTI assignment as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-a-Canvas-LTI-assignment-as-a-requirement-to-a/ta-p/1479,high
How do I review requirement submissions in Pathways?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-review-requirement-submissions-in-Pathways/ta-p/1470,high
How do I submit Canvas Studio media as a File Upload assignment in Canvas as a student?,https://community.canvaslms.com/t5/Canvas-Studio-Guide/How-do-I-submit-Canvas-Studio-media-as-a-File-Upload-assignment/ta-p/1677,high
Managing group assignment settings,https://community.canvaslms.com/t5/Troubleshooting/Managing-group-assignment-settings/ta-p/827,high
What is Assignment Enhancements?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/What-is-Assignment-Enhancements/ta-p/416679,high
[OPEN]Entering Quizzes – Take frame with Voice Over on New Quizzes take page is not functional (part 2),https://community.canvaslms.com/t5/Known-Issues/OPEN-Entering-Quizzes-Take-frame-with-Voice-Over-on-New-Quizzes/ta-p/635498,high
How do I create a discussion in an interest group in the Instructure Community?,https://community.canvaslms.com/t5/Instructure-Community-Guide/How-do-I-create-a-discussion-in-an-interest-group-in-the/ta-p/2981,high
How do I manage my inbox in the Instructure Community?,https://community.canvaslms.com/t5/Instructure-Community-Guide/How-do-I-manage-my-inbox-in-the-Instructure-Community/ta-p/585887,high
How do I import a favorite assignment from Commons to Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-a-favorite-assignment-from-Commons-to-Canvas-as/ta-p/1818,high
How do I import a favorite discussion from Commons to Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-a-favorite-discussion-from-Commons-to-Canvas-as/ta-p/1802,high
How do I import a favorite quiz from Commons to Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-a-favorite-quiz-from-Commons-to-Canvas-as-an/ta-p/1819,high
[OPEN] Search bar in discussion topic loses focus after search finishes,https://community.canvaslms.com/t5/Known-Issues/OPEN-Search-bar-in-discussion-topic-loses-focus-after-search/ta-p/635973,high
How do I import a Commons favorite as a module item in Canvas as an instructor?,https://community.canvaslms.com/t5/Canvas-Commons/How-do-I-import-a-Commons-favorite-as-a-module-item-in-Canvas-as/ta-p/1800,high
Files with # or ' in file name embedded in new quizzes display as broken,https://community.canvaslms.com/t5/Known-Issues/Files-with-or-in-file-name-embedded-in-new-quizzes-display-as/ta-p/635971,high
[OPEN] Assignments submitted with Quantitative Data settings enabled appear as missing for students,https://community.canvaslms.com/t5/Known-Issues/OPEN-Assignments-submitted-with-Quantitative-Data-settings/ta-p/635970,high
[OPEN] [iOS] Student | Discussions with checkpoint due dates don't display on mobile to do list,https://community.canvaslms.com/t5/Known-Issues/OPEN-iOS-Student-Discussions-with-checkpoint-due-dates-don-t/ta-p/635967,high
[OPEN] New course paces show out of order when default pace exists and module position does not match order items were aded to module,https://community.canvaslms.com/t5/Known-Issues/OPEN-New-course-paces-show-out-of-order-when-default-pace-exists/ta-p/635963,high
[OPEN] [Classic Quizzes] Allow only one Question/Question Group editor to be opened,https://community.canvaslms.com/t5/Known-Issues/OPEN-Classic-Quizzes-Allow-only-one-Question-Question-Group/ta-p/635787,high
What are Assignments?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/What-are-Assignments/ta-p/9,high
[OPEN] Reported replies notification is not sent from group discussions,https://community.canvaslms.com/t5/Known-Issues/OPEN-Reported-replies-notification-is-not-sent-from-group/ta-p/635499,high
$Canvas.assignment.dueAt.iso8601 returns the 'Everyone Else' date and not the student specific due date override during launches with Assignment Enhancements enabled,https://community.canvaslms.com/t5/Known-Issues/Canvas-assignment-dueAt-iso8601-returns-the-Everyone-Else-date/ta-p/635501,high
What are Announcements?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/What-are-Announcements/ta-p/39,high
How do I embed Canvas Studio media in a discussion reply in Canvas as a student?,https://community.canvaslms.com/t5/Canvas-Studio-Guide/How-do-I-embed-Canvas-Studio-media-in-a-discussion-reply-in/ta-p/1716,high
How do I add an introduction to my profile?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-add-an-introduction-to-my-profile/ta-p/1411,high
How do I add a project as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-a-project-as-a-requirement-to-a-milestone/ta-p/1480,high
How do I link Catalog with my Salesforce account as an admin?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-link-Catalog-with-my-Salesforce-account-as-an-admin/ta-p/619175,high
How do I hide the Self-paced label in Canvas Catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-hide-the-Self-paced-label-in-Canvas-Catalog/ta-p/627862,high
How do I enable bulk purchase/enrollment for a catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-enable-bulk-purchase-enrollment-for-a-catalog/ta-p/619176,high
